N	1	2	3	Imax	Imin	zmin	Skm	S
1	Г	Н	Н	21	13	4.401	$S_{11}$	$0.12\cdot e^{-1.43i}$
2	Г	КЗ	Н	21	12	4.410	$S_{12}$	$0.14\cdot e^{-2.35i}$
3	Г	Н	КЗ	20	13	4.40	$S_{13}$	$0.11\cdot e^{-2.05i}$
4	Н	Г	Н	16	12	5.145	$S_{22}$	$0.07\cdot e^{-3.14i}$
5	Н	Г	КЗ	16	12	5.145	$S_{23}$	$0.00\cdot e^{-0.00i}$
6	Н	Н	Г	100	1	4.525	$S_{33}$	$0.82\cdot e^{-1.72i}$
