N	1	2	3	Imax	Imin	zmin
1	Г	Н	Н	80	1	4.6
2	Г	КЗ	Н	78	1	4.575
3	Г	Н	КЗ	78	1	4.6
4	Н	Г	Н	16	11	5.145
5	Н	Г	КЗ	48	1	5.0
6	Н	Н	Г	26	24	5.2
