N	1	2	3	Imax	Imin	zmin
1	Г	Н	Н	70	10	4.91
2	Г	КЗ	Н	85	1	4.955
3	Г	Н	КЗ	94	1	4.79
4	Н	Г	Н	54	9	4.97
5	Н	Г	КЗ	91	1	4.725
6	Н	Н	Г	50	8	4.81
